,도로명,링크아이디,시점명,종점명,거리,차선수,평균속도,좌표
3278,양천로,1140000600,양화교,증미역,1689.0,3.0,26.511868127560163,"LINESTRING(189286.802842 449918.184082, 189242.363397 449944.559097, 188903.362193 450042.616938, 188843.739767 450063.364492, 188791.735626 450089.167087, 188741.73947 450121.690332, 188688.418336 450165.601055, 188622.904456 450235.139551, 188478.216943 450403.803257, 188452.255676 450427.925939, 188328.94035 450503.515387, 188218.08863 450565.025958, 188190.096041 450585.980581, 188158.932866 450615.422014, 188060.141738 450715.292816, 187980.015835 450777.858391, 187903.469709 450825.04169)"
3279,양천로,1150001500,강서구청별관입구,증미역,524.0,3.0,25.989462477598565,"LINESTRING(187464.287387 451110.036107, 187594.083411 451021.518394, 187723.879434 450933.000681, 187896.940798 450814.977063)"
3280,양천로,1150001600,증미역,강서구청별관입구,524.0,4.0,24.380325244815666,"LINESTRING(187903.701904 450824.891065, 187773.905881 450913.408779, 187644.109858 451001.926492, 187471.048494 451119.950109)"
3281,양천로,1150002100,가양역,강서구청별관입구,317.0,3.0,24.07405762768817,"LINESTRING(187200.12103 451284.858647, 187264.306179 451245.188598, 187394.238075 451161.220292, 187464.127921 451110.148703)"
3282,양천로,1150002200,강서구청별관입구,가양역,318.0,3.0,20.074056723630314,"LINESTRING(187471.207961 451119.837513, 187401.040312 451171.112105, 187270.717929 451255.332763, 187206.42997 451295.066354)"
3283,양천로,1150002500,가양3-5단지,가양역,367.0,3.0,15.334157138056836,"LINESTRING(186894.543634 451488.673609, 186986.164391 451427.562814, 187077.785148 451366.45202, 187199.946156 451284.97096)"
3284,양천로,1150002600,가양역,가양3-5단지,367.0,3.0,23.444789962557607,"LINESTRING(187206.604843 451294.95404, 187114.984087 451356.064835, 187023.36333 451417.175629, 186901.202322 451498.656689)"
3285,양천로,1150002700,공진초중교,가양3-5단지,304.0,3.0,23.412381536418334,"LINESTRING(186642.176444 451658.444201, 186717.880701 451607.516976, 186793.584958 451556.58975, 186894.523967 451488.686783)"
3286,양천로,1150002800,가양3-5단지,공진초중교,304.0,3.0,27.805630920378903,"LINESTRING(186901.221989 451498.643515, 186825.517732 451549.57074, 186749.813475 451600.497966, 186648.874466 451668.400933)"
3287,양천로,1150002900,양천향교역,공진초중교,804.0,3.0,27.01151464093702,"LINESTRING(185975.145883 452107.46365, 186175.25459 451972.758126, 186375.363297 451838.052602, 186642.174906 451658.445236)"
3288,양천로,1150003000,공진초중교,양천향교역,804.0,3.0,27.701829213069637,"LINESTRING(186648.876004 451668.399898, 186448.767297 451803.105422, 186248.65859 451937.810947, 185981.846981 452117.418312)"
3289,양천로,1150003300,방화2단지,양천향교역,1976.0,3.0,22.676243783602153,"LINESTRING(184142.300902 452650.245768, 184303.831316 452644.274752, 184542.585449 452615.476839, 185280.931139 452559.309645, 185310.795477 452554.159755, 185334.938666 452547.219708, 185371.859168 452531.371372, 185398.904296 452515.695959, 185435.021133 452485.18072, 185528.451654 452411.552137, 185975.120017 452107.48116)"
3290,양천로,1150003400,양천향교역,방화2단지,1983.0,3.0,29.985259136584745,"LINESTRING(185981.872846 452117.400802, 185535.550444 452421.236264, 185442.609404 452494.479108, 185405.839083 452525.546479, 185377.253973 452542.114469, 185338.978869 452558.544276, 185313.480671 452565.873825, 185282.409183 452571.231879, 184543.759632 452627.422189, 184304.773078 452656.248135, 184142.744182 452662.237577)"
3291,양천로,1150003500,방화사거리,개화사거리,703.0,1.0,20.027525673643115,"LINESTRING(183343.744286 452670.226911, 183201.152874 452643.563081, 183003.947709 452606.152235, 182903.365101 452588.447085, 182851.932862 452583.871534, 182742.620364 452583.157419, 182693.180854 452587.966979, 182648.548933 452590.919606)"
3292,양천로,1150003600,개화사거리,방화사거리,706.0,2.0,18.514336597542247,"LINESTRING(182647.756804 452578.94578, 182692.203608 452576.005398, 182742.077158 452571.153614, 182852.5047 452571.875014, 182904.939818 452576.539784, 183006.106254 452594.347702, 183203.374016 452631.770423, 183345.949989 452658.431366)"
3293,양천로,1150003700,신방화사거리,방화2단지,333.0,2.0,24.83878721838198,"LINESTRING(183810.192581 452656.645705, 183839.306994 452661.680555, 184142.296267 452650.245941)"
3294,양천로,1150003800,방화2단지,신방화사거리,335.0,2.0,19.800529161866358,"LINESTRING(184142.748817 452662.237404, 183838.50209 452673.719474, 183808.147733 452668.470197)"
