,아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워
115,레인보우,To Me [내게로..],129.19921875,591854,5822.721242149863,2742.5546736731576,0.32173184
116,렉시,애송이,107.666015625,607908,6044.492972823498,2873.022246155587,0.28112134
117,렉시,하늘위로 (Remix),129.19921875,637616,7162.113423898576,3175.490908353252,0.23407795
118,로꼬,시간이 들겠지 (Feat. Colde),117.45383522727272,401644,3897.686727206104,1901.5540425323927,0.2112993
119,로시(Rothy),구름 (뷰티 인사이드 OST),86.1328125,412636,5509.887895731048,2478.988182369536,0.27125147
120,롤러코스터,내가 울고 웃는 사이,161.4990234375,308382,5023.144265463075,2082.252066583228,0.2121527
121,롤러코스터,"힘을 내요, 미스터 김",117.45383522727272,510134,4851.428032136582,2204.553342591471,0.22535011
122,리미와 감자,치킨,103.359375,543292,5397.391094738924,2714.083794644568,0.2746331
123,리쌍,내가 웃는게 아니야 (Feat. ALI),83.35433467741936,555326,5264.023398433948,2393.086151561409,0.25952995
124,리쌍,회상 (Feat. 백지영),99.38401442307692,371562,3411.9373412542964,1678.1805032957272,0.29281637
125,린,사랑.. 다 거짓말,66.25600961538461,354668,4098.212015120709,1901.2828095319376,0.2138346
126,"릴보이(lIlBOI), 원슈타인",Circle,107.666015625,355880,5677.098803143169,2676.1876084782416,0.20684192
127,"릴보이(lIlBOI), 원슈타인",LASER (Prod. PEEJAY),112.34714673913044,421158,4697.901826431764,2276.7727395905576,0.2434899
128,"릴보이(lIlBOI), 원슈타인, 미란이(Mirani)",HEAT,143.5546875,629668,6499.182498905273,3243.9158502649043,0.29817885
129,마마무(MAMAMOO),I Miss You,117.45383522727272,523102,5049.031585867967,2299.8891988752825,0.2924214
130,마마무(MAMAMOO),Love Lane,89.10290948275862,367700,5318.42618504264,2316.2920752226837,0.26073492
131,마마무(MAMAMOO),봄타,89.10290948275862,463230,5182.1351008628735,2343.477135061119,0.27869025
132,마마무(MAMAMOO),음오아예 [Um Oh Ah Yeh],103.359375,624304,6278.703104776273,2968.025142630365,0.31357116
133,마미손,"땡큐땡큐 (Feat. 장기하, YDG, 머쉬베놈)",103.359375,473078,5378.593225840449,2552.191461125224,0.3263328
134,머쉬베놈(MUSHVENOM),"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",112.34714673913044,626232,6551.955861968711,3010.792585791963,0.25578848
135,멜로망스,선물,161.4990234375,397950,3697.17311335918,1743.6458664399547,0.20707461
136,모모랜드,Same Same,123.046875,556570,6549.689737124738,2939.010136538685,0.2904237
137,모이다 밴드(Moida Band),Any More,103.359375,551254,5781.792447909967,2592.3470780209577,0.17272183
138,문별,머리에서 발끝까지(Shutdown) (Feat.Seori),143.5546875,593350,6861.265148359222,3022.9051720675047,0.2922903
139,미란이(Mirani),"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",143.5546875,562790,6187.512249037552,2831.353009234266,0.29064766
140,미란이(Mirani),티키타 (Feat. 릴보이 (lIlBOI)),99.38401442307692,412848,6404.9901805382415,2783.989067657555,0.33684322
141,"미란이, 먼치맨, 쿤디판다(Khundi Panda), 머쉬베놈(MUSHVENOM)",VVS (Feat. JUSTHIS) (Prod. GroovyRoom),143.5546875,887144,6196.900380202197,2867.145626304353,0.33203545
142,바비킴,일년을 하루같이 (쩐의 전쟁 OST),184.5703125,327622,4572.435318618801,2105.3980456734976,0.2210837
143,박기영,시작,151.99908088235293,489706,6224.908323545714,2721.33401937071,0.20567189
144,박문치,"Blink (With. 라라, 이아일)",89.10290948275862,291190,4931.919724148396,2112.5804511796296,0.27187142
145,박문치,네 손을 잡고 싶어 (Feat. 강원우 Of 일로와이로),112.34714673913044,397372,4473.623911348931,2106.85282929628,0.31508037
146,박미경,이브의 경고,135.99917763157896,742414,6224.290562272291,2870.5661234087456,0.26082563
147,박상민,헬스 클럽 아가씨,117.45383522727272,632396,5913.270228193958,2793.0462832856488,0.17250596
148,박완규,Alone,89.10290948275862,556580,4965.161819079552,2282.9827064319675,0.2782571
149,박재범,"All I Wanna Do (K) (Feat. Hoody, Loco)",95.703125,488426,5387.82231581774,2516.322639395731,0.24423422
150,박정현,꿈에,135.99917763157896,791130,4917.203328786803,2400.6045320875105,0.13524678
151,박지윤,Steal Away (주인공),99.38401442307692,518428,5281.41176510232,2412.881257767159,0.1975352
152,박지윤,미스터리 (Feat. San E),135.99917763157896,394146,5020.251123446559,2289.874533415034,0.27438468
153,박진영,"FEVER (Feat. 수퍼비, BIBI)",95.703125,456434,5813.582631549863,2749.2496719808346,0.24613445
154,박진영,난 여자가 있는데,89.10290948275862,563096,5875.395126650825,2675.2338241985203,0.16831717
155,박진영,날 떠나지마,123.046875,688658,6253.4494319432215,2854.872759785485,0.16851224
156,박혜경,카누를 타고 파라다이스에 갈 때,99.38401442307692,760482,5987.645584209929,2903.273460154061,0.1788646
157,박효신,눈의 꽃,143.5546875,480740,4220.77543499275,1925.9347936783224,0.15161356
158,방탄소년단,FAKE LOVE,151.99908088235293,841678,7335.59227453839,3566.263287829196,0.26403528
159,방탄소년단,MIC Drop (Steve Aoki Remix) (Feat. Desiigner),172.265625,556856,6300.082400131411,2865.68946635814,0.2910433
160,방탄소년단,Trivia 起：Just Dance,123.046875,548940,5928.091042235649,2698.4514956743324,0.2882797
161,방탄소년단,Trivia 轉：Seesaw,107.666015625,555942,6072.402849423854,2680.2240417866915,0.2677996
162,방탄소년단,봄날,107.666015625,973316,6712.007198622904,3254.0898727903304,0.3008072
163,배연서(WEBSTER B),"이로한 (Feat. ELO, Jessi) (Prod. Padi)",95.703125,670610,4909.875710006376,2382.9887988508617,0.23226236
164,"배연서(WEBSTER B), 윤진영(Clloud)"," Like It (Feat. 행주, 보이비)",117.45383522727272,621876,6347.875632702465,2933.478555497655,0.23948985
165,배치기,궁금해 가끔 (Feat. 구인회 of MAC),129.19921875,781772,6375.443221560679,3065.9655661373013,0.26400268
166,백아연,그래서 요즘 생각이 많아,89.10290948275862,341164,4291.818078155378,2057.3260869026035,0.24246353
167,백아연,변덕쟁이,117.45383522727272,431442,5255.653451988652,2324.841600055712,0.2850272
168,백예린,0415,117.45383522727272,336930,4630.048188606954,2078.837806371655,0.27369392
169,백예린,가끔,92.28515625,530787,4771.321193688058,2235.7315224111294,0.2673283
170,백예린,내가 날 모르는 것처럼 (Feat. 카더가든),151.99908088235293,524884,5498.464947101517,2500.840333808501,0.18612409
171,별,12월 32일,92.28515625,343054,3886.47180914162,1827.5015917544265,0.13849269
172,보아(BoA),"ONE SHOT, TWO SHOT",123.046875,387002,5109.61222890582,2322.4842953465545,0.2701268
173,보아(BoA),공중정원 [Garden In the Air],99.38401442307692,775574,6278.261388278654,2992.267046899416,0.24867411
174,볼빨간사춘기,Blue,117.45383522727272,380134,4608.334973719731,2186.0247593439863,0.27748466
175,볼빨간사춘기,XX,92.28515625,430488,4717.869624250409,2262.1141308209635,0.3042726
176,봄여름가을겨울,"Bravo, My Life!",89.10290948275862,531822,5190.303347579427,2309.330790058005,0.22069335
177,브라운 아이드 걸스,L.O.V.E,135.99917763157896,425576,5741.343419158618,2494.9836472711727,0.2575697
178,브라운 아이드 걸스,다가와서,75.99954044117646,563562,4896.9763654765775,2270.8352233390865,0.18031429
179,브레이브걸스(Brave Girls),운전만해 (We Ride),112.34714673913044,452534,5251.3566186159405,2477.695383246676,0.36156827
180,비,It’s Raining,103.359375,443608,5327.06198707364,2412.264433033153,0.28690508
181,비,태양을 피하는 방법,95.703125,484888,5441.8718662008405,2520.783790913992,0.16556418
182,비바 소울,Cry (Feat. 하동균),99.38401442307692,418214,5126.155819434002,2288.674798230176,0.25689498
183,비스트,12시 30분,99.38401442307692,518482,5428.792184417343,2446.8564743389816,0.29749566
184,비투비(BTOB),봄날의 기억,80.74951171875,442386,4972.540225355272,2165.350756357018,0.29067472
185,빅마마,Break Away,86.1328125,516244,4791.202379880711,2198.2499043613434,0.20315766
186,빅마마,체념,135.99917763157896,468226,3852.435432052168,1819.392818710973,0.1647851
187,빅뱅(Big Bang),Dirty Cash,129.19921875,608784,5918.589773420705,2887.495323062111,0.27735677
188,빅뱅(Big Bang),IF YOU,143.5546875,378382,4490.132534278777,2009.5392820655752,0.25992724
189,빅뱅(Big Bang),This Love,95.703125,611914,6081.588063656705,2947.511640259477,0.21652634
190,빅뱅(Big Bang),착한 사람,123.046875,398018,5041.256832971896,2326.7301187041357,0.20766553
191,빈첸(VINXEN),전혀 (Feat. 우원재) (Prod. GroovyRoom),99.38401442307692,387738,4719.0255060024965,2218.396051311122,0.24098392
192,샤크라,끝[End],143.5546875,398268,5089.49479357588,2298.115429340396,0.26087534
193,샵(s#arp),내 입술 따뜻한 커피처럼,92.28515625,395982,4537.07136186536,2102.0661735422486,0.20805943
194,"서울시립교향악단, 박인영",빨간 맛 [Red Flavor] (Orchestra Ver.),123.046875,411086,3670.406929411542,1817.553474853135,0.13614406
195,선미,24시간이 모자라,129.19921875,547530,5749.68980572575,2802.9822764549003,0.2391913
196,소녀시대,Gee,99.38401442307692,599794,6529.129635129498,3069.893093105937,0.1903241
197,소울라이츠,도시의 밤,89.10290948275862,383690,4077.2006330818967,1848.488949469857,0.20284271
198,송지은,희망고문,143.5546875,349430,4783.437448843366,2200.035643087825,0.28661397
199,수란(SURAN),오늘 취하면 (Feat.창모) (Prod. SUGA),143.5546875,642654,6834.297042430239,2973.910418714453,0.28895393
200,술탄 오브 더 디스코,Shining Road,103.359375,338380,4198.931598766297,1914.7903659888837,0.308475
201,술탄 오브 더 디스코,사라지는 꿈,112.34714673913044,410954,3443.9376474405794,1666.0900366249468,0.29144987
202,스윙스(Swings),악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),89.10290948275862,464224,4302.8604112916255,2041.5967887705424,0.2984982
203,신승훈,I Believe (엽기적인 그녀 OST),129.19921875,284958,2945.7134184431934,1444.9914774529148,0.15961568
204,신현희와김루트,오빠야,112.34714673913044,424072,4398.941754448832,2061.532839615447,0.28253078
205,싸이,나팔바지,129.19921875,681792,6379.963833877132,3054.6869889374734,0.28433833
206,싸이,환희,117.45383522727272,554014,5942.732518233898,2812.5073698492038,0.2721074
207,"싹쓰리(유두래곤, 린다G, 비룡)",그 여름을 틀어줘,112.34714673913044,739212,6608.9309510255625,3204.0563028690244,0.3207903
208,씨야,그놈 목소리,135.99917763157896,698184,6772.526061306245,3364.155244850143,0.30061126
209,씨엔블루,Can`t Stop,129.19921875,540600,5632.312061747567,2507.6719627804923,0.2978152
210,아나야,큰 애기 놀아난다,129.19921875,416256,4742.673011976598,2326.6561973186986,0.22403471
211,아웃사이더(Outsider),"Luv Business (Feat. Bizniz a.k.a Young GM, J'kyun)",129.19921875,565854,6069.300040766457,2800.928277114293,0.24129541
212,아웃사이더(Outsider),슬피 우는 새 (Feat. 이수영),92.28515625,395682,3624.206604988608,1785.3938565955834,0.242915
213,악동뮤지션(AKMU),200%,103.359375,512344,5659.542308134191,2729.671197485409,0.22788838
214,악동뮤지션(AKMU),시간과 낙엽,184.5703125,400916,4345.889230695942,2004.952045539526,0.15268447
215,악동뮤지션(AKMU),째깍 째깍 째깍 (with Beenzino),112.34714673913044,400856,4398.945542848452,2040.303779119613,0.21104111
216,애니밴드,Promise You,107.666015625,587936,5442.040267651194,2602.874528918816,0.22635223
217,양요섭,카페인 (Feat. 용준형),99.38401442307692,356562,4500.372147359682,2066.521203061924,0.29438332
218,엄프,"그래도 (Feat. 마수혜, 쇼리 Of 마이티마우스)",95.703125,462536,4877.445508548339,2327.242083510335,0.26028058
219,업타운(UpTown),다시 만나 줘,107.666015625,529267,5749.169942004084,2617.842040949605,0.22752334
220,에반(Evan),남자도... 어쩔 수 없다,143.5546875,501502,5768.883190148715,2661.92830848946,0.14515042
221,에일리,첫눈처럼 너에게 가겠다 (도깨비 OST),135.99917763157896,428232,3964.5068974648752,1930.3031956459329,0.21403797
222,에피톤 프로젝트(Epitone Project),"봄날, 벚꽃 그리고 너",143.5546875,244392,890.1421168341709,640.2000278259007,0.0950252
223,에픽하이(Epik High),1분 1초 (Feat. 타루},151.99908088235293,411060,3918.4512948432766,1851.4556632219108,0.22730832
224,에픽하이(Epik High),Fly [Hidden Track],129.19921875,497674,5234.887409278963,2362.611978397528,0.25403976
225,에픽하이(Epik High),RICH (Feat. 태양),99.38401442307692,550898,4763.062907194833,2294.32959082428,0.2265858
226,에픽하이(Epik High),당신의 조각들 (Feat. 지선),95.703125,614268,3406.504413021564,1694.6444295321378,0.19456989
227,엔플라잉(N.Flying),옥탑방,95.703125,519360,5023.808535095982,2440.163184352992,0.31973767
228,영턱스클럽,정,135.99917763157896,570106,6504.174204361868,2834.256399875453,0.19565801
229,오마이걸(OH MY GIRL),Say It To Me (KARTRIDER X LINE FRIENDS Pt. 2),117.45383522727272,523752,7314.551671296183,3285.508920127998,0.2757348
230,오현란,조금만 사랑했다면,129.19921875,357884,4372.598955743762,1965.447397906305,0.2344074
231,왁스,오빠,143.5546875,628416,6465.2148843213145,2958.5443960795183,0.19419613
232,왁스,황혼의 문턱,117.45383522727272,471274,4983.122953401579,2153.554122852636,0.20102027
233,우원재,시차 [We Are] (Feat. 로꼬 & GRAY),99.38401442307692,403538,4730.10018004829,2302.0109382363253,0.32038632
234,울랄라 세션,미인,129.19921875,496254,5891.146266808273,2669.342264385012,0.241938
235,원더걸스, Rewind,103.359375,537138,5768.190101511521,2646.963095231472,0.26922044
236,원더걸스,So Hot,92.28515625,593793,6451.549746901992,3154.4550346082083,0.15588194
