아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워,X,Y
YUKIKA(유키카),서울여자,0.47574580447627257,0.3908089929780525,0.5844848906523238,0.5331797719365503,0.9444973521783416,51.61374486284295,54.736188882392334
Zion.T,양화대교,0.08644037671339949,0.1726317506034905,0.25793145447438953,0.19381245165711297,0.06151371540805819,16.34596831854711,14.833947851281515
Zion.T,잠꼬대 (Feat. 오혁),0.5681621000271329,0.010974475382339935,0.09857477698117861,0.10435239957962467,0.4680073731281188,19.49731428253726,31.574846017405964
가인,피어나,0.5681621000271329,0.8661415343352801,0.7174399733316481,0.77568770298673,0.8808899031157498,76.92347890161162,70.05935190196317
거미,기억상실,0.2083709341932341,0.5923765307727747,0.45387553223152755,0.43119430062666286,0.17426414090406545,42.994574974713515,33.70264074166157
거미,미안해요 (Feat. T.O.P),0.5681621000271329,0.825184638146677,0.8480646661618271,0.8271907489332273,0.04731074228528021,70.07693576183136,64.95654610730598
기리보이,호랑이소굴 (Feat. Jvcki Wai),0.16724242015660895,0.17589508308143548,0.2866426817559336,0.2837975903680618,0.9438771153062333,28.390252418251222,29.296224232620954
김동률,다시 사랑한다 말할까,0.847155427871578,0.35060150252951194,0.2900676439148986,0.18720777120380322,0.07450682940718212,39.38566754301986,47.682808736604095
김범수,하루,0.761206540659798,0.6163413510825312,0.2698111174649106,0.2460850509244646,0.13798304340376022,49.114688149077665,48.30942893904234
김연자,아모르 파티,0.761206540659798,0.3628087057199031,0.4677998623662086,0.4680550956683746,0.9034817444312209,52.80784469031221,61.82826528859482
김완선,삐에로는 우릴 보고 웃지 (2019),0.3199772389206965,0.3088627530537674,0.33859291460762353,0.3385706976839741,0.7007259413738323,35.918879583295166,36.438248746935805
김원준,쇼 [Show],0.847155427871578,0.8918100510474807,0.7513898570050908,0.7524116967096854,0.191603235218263,77.08345705871209,74.79638105181607
김윤아,봄날은 간다,0.2083709341932341,0.09885388375200754,0.008089769219273275,0.009766342032569425,0.06633788830755405,9.044411721731684,10.343877313361833
김진표,가지말걸 그랬어 (Feat. 주영),0.3923711178932867,0.28796335683302343,0.2055998976793612,0.20427696412303248,0.20948685248871768,27.6155927508914,28.866884044996752
김진표,쿨하게 헤어지는 방법 (Feat. 잔디),0.3199772389206965,0.8676368147101965,0.5735091273415297,0.7180697088588295,0.2697491212955241,62.45338821519592,50.004525640892254
김트와친구들,COWARD,0.9867214565421997,0.24637693913809355,0.13887697354119166,0.1135331244562689,0.14123824510838112,34.91475986283807,48.393212064101945
김하온(HAON),붕붕 (Feat. Sik. K) (Prod. GroovyRoom),0.761206540659798,0.6833992679330153,0.7270687097220563,0.7112570990752802,0.5293736719277905,69.50778343498841,71.3425072009467
나얼,귀로,0.3199772389206965,0.153899106871753,0.06664093677103669,0.05040529251435894,0.4998064557985784,19.39044527183416,21.67706976923909
넉살,필라멘트 (Feat. BSK A.K.A 김범수),0.761206540659798,0.5637671963033584,0.5694021339622957,0.5129195300532212,0.7090794554097839,61.38285119920626,64.82316142383368
노라조,우리동네 HERO (열혈사제 OST),0.9867214565421997,0.571374889182037,0.5238486212614799,0.6194517654009682,0.8440099209910259,67.701013987275,76.48871409666758
노바소닉(Novasonic),또 다른 진심,0.761206540659798,0.6765760525374092,0.9141097935941317,0.9422947253820494,0.42280771491214075,74.22039318951686,78.57018968041103
노브레인,넌 내게 반했어,0.9154939676959741,0.8701232889478371,0.5373265021513617,0.6898288479617126,0.785089763846892,78.61052707294625,77.71499623804775
