제품코드,약식품번(제품번호와같이키값으로사용),제품명,규격,"품목자산분류(102201:완제품,102202:반제품,102203:원재료,102204:상품)"
PEMA023117800,808999,PEMA-SR3000F 에스피(동서울),,102201
PEMA023117801,768191,PEMA-SR2000A에스피(광주),,102201
PEMA023118900,807078,SRE-110유니캠(화성),,102201
PEMA023120100,807586,PEMA-SR2000 성우(영동),,102201
PEMA023121400,807999,PEMA-HR1000유덕(춘천),,102201
PEMA023122400,807698,PEMA-SR2000성진(부산),,102201
PEMA023123000,807826,PEMA-CR1000신공항(인천),,102201
PEMA023123200,808601,PEMA-HR1000선진(함안),,102201
PEMA023124800,808019,PEMA-SR3000F한화(포항),,102201
PEMA023125100,808021,PEMA-HR1500홍성(산청),,102201
PEMA023125200,808023,PEMA-HR1500세진(부산),,102201
PEMA023126100,808243,PEMA-HR1000서호(태안),,102201
PEMA023126700,808281,PEMA-HR1500일반용합천(합천),,102201
PEMA023129500,808885,PEMA-HR1500두원(순천),,102201
PEMA023129801,808625,PEMA-PR1000삼일(충주),,102201
PEMA023132100,808877,PEMA-SP1000대보(합천),,102201
PEMA023133200,809022,CSA5000 경도(경주),,102201
PEMA023901510,805213,PEMA-PR2000동양파일(익산),,102201
PEMA03087900,805419,PEMA-SR2000윤성(하빈),PEMA11605,102201
PEMA033002600,804300,PEMA-HR1500경동(부산),,102201
PEMA033003100,804928,CSA5000경인(인천),,102201
PEMA033006000,805942,PEMA-HR1000구미(구미),,102201
PEMA033006300,807566,PEMA-SR3000F국민(용인),,102201
PEMA033006900,781003,PEMA-HR1500대상(의령),PEMA11706,102201
PEMA033007400,808883,PEMA-SR3000F금남(여수),,102201
PEMA033008200,808964,PEMA-HR1000 금정(남원),,102201
PEMA033009000,774090,PEMA-HR1000나성(나주),PEMA11720,102201
PEMA033014200,808213,PEMA-HR1500대성(울산),,102201
PEMA033015600,783164,PEMA-SR3000F대양(양산),PEMA11535,102201
PEMA033021700,781071,PEMA-HR1500동서(부산),PEMA21723,102201
PEMA033023004,804383,CSA5000동양(아산),,102201
PEMA033023006,804712,PEMA-SR3000F동양(정관),,102201
PEMA033023200,805514,PEMA-SR3000F동양(광주),,102201
PEMA033023500,781126,PEMA-HR1500동양산업(김해),PEMA40061,102201
PEMA033027400,781169,PEMA-HR1500미륭(부산),PEMA31529,102201
PEMA033028900,808842,PEMA-HR1000보광(장동),,102201
PEMA033030002,807032,PEMA-HR1000부강(대전),,102201
PEMA033030400,804856,CSA4000부국(대전),,102201
PEMA033030500,781193,PEMA-HR1500부산(부산),PEMA51265,102201
PEMA033031600,808085,CSA5000미래(평택),,102201
