SOLDDATE,TEMP,HUM,REGION_U
2018-09-27,16.4,60.9,경기도북부
2018-09-28,15.3,70.3,경기도북부
2018-09-29,18.0,66.5,경기도북부
2018-09-30,16.0,61.5,경기도북부
2018-10-01,13.9,60.8,경기도북부
2018-10-02,14.1,67.9,경기도북부
2018-10-03,14.9,69.6,경기도북부
2018-10-04,17.6,63.4,경기도북부
2018-10-05,15.8,79.3,경기도북부
2018-10-06,17.1,78.4,경기도북부
2018-10-07,15.1,62.3,경기도북부
2018-10-08,12.2,59.3,경기도북부
2018-10-09,13.7,65.6,경기도북부
2018-10-10,11.2,62.8,경기도북부
2018-10-11,8.8,57.5,경기도북부
2018-10-12,8.7,64.4,경기도북부
2018-10-13,10.3,65.3,경기도북부
2018-10-14,11.4,67.6,경기도북부
2018-10-15,13.1,74.1,경기도북부
2018-10-16,12.2,65.3,경기도북부
2018-10-17,10.7,61.4,경기도북부
2018-10-18,10.9,66.4,경기도북부
2018-10-19,11.3,60.0,경기도북부
2018-10-20,11.0,58.4,경기도북부
2018-10-21,11.3,57.0,경기도북부
2018-10-22,11.8,60.1,경기도북부
2018-10-23,10.3,81.4,경기도북부
2018-10-24,10.6,69.1,경기도북부
2018-10-25,12.0,64.4,경기도북부
2018-10-26,10.9,78.3,경기도북부
2018-10-27,7.3,57.1,경기도북부
2018-10-28,6.1,79.6,경기도북부
2018-10-29,6.4,63.1,경기도북부
2018-10-30,5.7,54.1,경기도북부
2018-10-31,6.3,57.1,경기도북부
2018-11-01,7.2,59.6,경기도북부
2018-11-02,9.1,58.3,경기도북부
2018-11-03,9.8,56.5,경기도북부
2018-11-04,10.0,60.5,경기도북부
2018-11-05,10.8,64.6,경기도북부
2018-11-06,11.5,68.9,경기도북부
2018-11-07,11.7,81.6,경기도북부
2018-11-08,11.9,87.1,경기도북부
2018-11-09,12.0,69.4,경기도북부
2018-11-10,10.8,70.3,경기도북부
2018-11-11,5.8,69.5,경기도북부
2018-11-12,6.3,60.4,경기도북부
2018-11-13,7.3,62.1,경기도북부
2018-11-14,7.9,64.4,경기도북부
2018-11-15,7.4,63.4,경기도북부
2018-11-16,6.6,69.5,경기도북부
2018-11-17,3.7,60.9,경기도북부
2018-11-18,4.2,53.3,경기도북부
2018-11-19,4.8,57.9,경기도북부
2018-11-20,5.3,44.9,경기도북부
2018-11-21,5.6,61.3,경기도북부
2018-11-22,1.3,37.6,경기도북부
2018-11-23,0.1,36.9,경기도북부
2018-11-24,2.3,73.3,경기도북부
2018-11-25,3.6,83.0,경기도북부
2018-11-26,4.3,77.3,경기도북부
2018-11-27,6.4,60.8,경기도북부
2018-11-28,3.6,34.1,경기도북부
2018-11-29,1.2,49.0,경기도북부
2018-11-30,0.7,51.9,경기도북부
2018-12-01,2.8,49.4,경기도북부
2018-12-02,5.0,60.3,경기도북부
2018-12-03,9.2,84.3,경기도북부
2018-12-04,6.3,69.8,경기도북부
2018-12-05,-1.2,42.4,경기도북부
2018-12-06,1.4,48.3,경기도북부
2018-12-07,-7.7,35.1,경기도북부
2018-12-08,-9.0,34.1,경기도북부
2018-12-09,-8.1,33.8,경기도북부
